name,population ,pcode,Weeks,cas,Cumulative_cases,Incidence,TA
Bokeka,12390,C012,33,0,0,0,0
Bokakata,10480,C026,33,0,0,0,0
Ekoto,6353,C002,33,0,0,0,0
Bokolongo,6866,C006,33,0,0,0,0
Bokele,7685,C010,33,0,0,0,0
Balangala,14589,C005,33,0,0,0,0
Ndeke,8332,C016,33,0,0,0,0
Ilodge(Ifomi),10468,C004,33,0,0,0,0
Nsongo nkoy,8266,C018,33,0,0,0,0
Boyela,12246,C014,33,0,0,0,0
Lofoma (pilote),6346,C008,33,0,0,0,0
Loanga,6137,C001,33,0,0,0,0
Bolimi toenga,7777,C013,33,0,0,0,0
Lifumba,10923,C009,33,0,0,0,0
Monzonzo,7350,C007,33,0,0,0,0
Lilangi,7894,C017,34,0,1,0,0.01
Bongilima,5638,C021,34,6,15,106,0.27
Bafumba,18645,C024,34,0,9,0,0.05
Bokala,11529,C023,34,0,1,0,0.01
Lisafa,20432,C020,34,3,26,15,0.13
Isampoka (Elikia),19369,C025,34,1,7,5,0.04
Boboto,13817,C022,34,0,4,0,0.03
Ikau,8116,C003,34,0,1,0,0.01
Bolombo mengi,8535,C015,34,0,0,0,0
Waka,12380,C011,34,0,0,0,0
Nsongo Ilinga,10656,C019,34,0,0,0,0
Bokeka,12390,C012,34,0,0,0,0
Bokakata,10480,C026,34,0,0,0,0
Ekoto,6353,C002,34,0,0,0,0
Bokolongo,6866,C006,34,0,0,0,0
Bokele,7685,C010,34,0,0,0,0
Balangala,14589,C005,34,0,0,0,0
Ndeke,8332,C016,34,0,0,0,0
Ilodge(Ifomi),10468,C004,34,0,0,0,0
Nsongo nkoy,8266,C018,34,0,0,0,0
Boyela,12246,C014,34,0,0,0,0
Lofoma (pilote),6346,C008,34,0,0,0,0
Loanga,6137,C001,34,0,0,0,0
Bolimi toenga,7777,C013,34,0,0,0,0
Lifumba,10923,C009,34,0,0,0,0
Monzonzo,7350,C007,34,0,0,0,0
Lilangi,7894,C017,35,0,1,0,0.01
Bongilima,5638,C021,35,4,19,71,0.34
Bafumba,18645,C024,35,0,9,0,0.05
Bokala,11529,C023,35,0,1,0,0.01
Lisafa,20432,C020,35,3,29,15,0.14
Isampoka (Elikia),19369,C025,35,7,14,36,0.07
Boboto,13817,C022,35,1,5,7,0.04
Ikau,8116,C003,35,0,1,0,0.01
Bolombo mengi,8535,C015,35,1,1,12,0.01
Waka,12380,C011,35,2,2,16,0.02
Nsongo Ilinga,10656,C019,35,1,1,9,0.01
Bokeka,12390,C012,35,0,0,0,0
Bokakata,10480,C026,35,1,1,10,0.01
Ekoto,6353,C002,35,0,0,0,0
Bokolongo,6866,C006,35,0,0,0,0
Bokele,7685,C010,35,0,0,0,0
Balangala,14589,C005,35,0,0,0,0
Ndeke,8332,C016,35,0,0,0,0
Ilodge(Ifomi),10468,C004,35,0,0,0,0
Nsongo nkoy,8266,C018,35,0,0,0,0
Boyela,12246,C014,35,0,0,0,0
Lofoma (pilote),6346,C008,35,0,0,0,0
Loanga,6137,C001,35,0,0,0,0
Bolimi toenga,7777,C013,35,0,0,0,0
Lifumba,10923,C009,35,0,0,0,0
Monzonzo,7350,C007,35,0,0,0,0
Lilangi,7894,C017,36,0,1,0,0.01
Bongilima,5638,C021,36,2,21,35,0.37
Bafumba,18645,C024,36,3,12,16,0.06
Bokala,11529,C023,36,4,5,35,0.04
Lisafa,20432,C020,36,0,29,0,0.14
Isampoka (Elikia),19369,C025,36,7,21,36,0.11
Boboto,13817,C022,36,0,5,0,0.04
Ikau,8116,C003,36,1,2,12,0.02
Bolombo mengi,8535,C015,36,4,5,47,0.06
Waka,12380,C011,36,0,2,0,0.02
Nsongo Ilinga,10656,C019,36,0,1,0,0.01
Bokeka,12390,C012,36,0,0,0,0
Bokakata,10480,C026,36,2,3,19,0.03
Ekoto,6353,C002,36,0,0,0,0
Bokolongo,6866,C006,36,2,2,29,0.03
Bokele,7685,C010,36,0,0,0,0
Balangala,14589,C005,36,2,2,14,0.01
Ndeke,8332,C016,36,0,0,0,0
Ilodge(Ifomi),10468,C004,36,0,0,0,0
Nsongo nkoy,8266,C018,36,0,0,0,0
Boyela,12246,C014,36,2,2,16,0.02
Lofoma (pilote),6346,C008,36,0,0,0,0
Loanga,6137,C001,36,0,0,0,0
Bolimi toenga,7777,C013,36,0,0,0,0
Lifumba,10923,C009,36,0,0,0,0
Monzonzo,7350,C007,36,0,0,0,0
Lilangi,7894,C017,37,0,1,0,0.01
Bongilima,5638,C021,37,6,27,106,0.48
Bafumba,18645,C024,37,1,13,5,0.07
Bokala,11529,C023,37,6,11,52,0.1
Lisafa,20432,C020,37,0,29,0,0.14
Isampoka (Elikia),19369,C025,37,6,27,31,0.14
Boboto,13817,C022,37,2,7,14,0.05
Ikau,8116,C003,37,1,3,12,0.04
Bolombo mengi,8535,C015,37,3,8,35,0.09
Waka,12380,C011,37,3,5,24,0.04
Nsongo Ilinga,10656,C019,37,0,1,0,0.01
Bokeka,12390,C012,37,0,0,0,0
Bokakata,10480,C026,37,0,3,0,0.03
Ekoto,6353,C002,37,0,0,0,0
Bokolongo,6866,C006,37,0,2,0,0.03
Bokele,7685,C010,37,0,0,0,0
Balangala,14589,C005,37,0,2,0,0.01
Ndeke,8332,C016,37,0,0,0,0
Ilodge(Ifomi),10468,C004,37,0,0,0,0
Nsongo nkoy,8266,C018,37,0,0,0,0
Boyela,12246,C014,37,2,4,16,0.03
Lofoma (pilote),6346,C008,37,0,0,0,0
Loanga,6137,C001,37,0,0,0,0
Bolimi toenga,7777,C013,37,0,0,0,0
Lifumba,10923,C009,37,0,0,0,0
Monzonzo,7350,C007,37,0,0,0,0
Lilangi,7894,C017,38,0,1,0,0.01
Bongilima,5638,C021,38,21,48,372,0.85
Bafumba,18645,C024,38,0,13,0,0.07
Bokala,11529,C023,38,0,11,0,0.1
Lisafa,20432,C020,38,0,29,0,0.14
Isampoka (Elikia),19369,C025,38,4,31,21,0.16
Boboto,13817,C022,38,7,14,51,0.1
Ikau,8116,C003,38,4,7,49,0.09
Bolombo mengi,8535,C015,38,0,8,0,0.09
Waka,12380,C011,38,3,8,24,0.06
Nsongo Ilinga,10656,C019,38,0,1,0,0.01
Bokeka,12390,C012,38,2,2,16,0.02
Bokakata,10480,C026,38,0,3,0,0.03
Ekoto,6353,C002,38,0,0,0,0
Bokolongo,6866,C006,38,0,2,0,0.03
Bokele,7685,C010,38,0,0,0,0
Balangala,14589,C005,38,0,2,0,0.01
Ndeke,8332,C016,38,3,3,36,0.04
Ilodge(Ifomi),10468,C004,38,0,0,0,0
Nsongo nkoy,8266,C018,38,0,0,0,0
Boyela,12246,C014,38,0,4,0,0.03
Lofoma (pilote),6346,C008,38,0,0,0,0
Loanga,6137,C001,38,0,0,0,0
Bolimi toenga,7777,C013,38,0,0,0,0
Lifumba,10923,C009,38,0,0,0,0
Monzonzo,7350,C007,38,0,0,0,0
Lilangi,7894,C017,39,15,16,190,0.2
Bongilima,5638,C021,39,1,49,18,0.87
Bafumba,18645,C024,39,25,38,134,0.2
Bokala,11529,C023,39,19,30,165,0.26
Lisafa,20432,C020,39,0,29,0,0.14
Isampoka (Elikia),19369,C025,39,23,54,119,0.28
Boboto,13817,C022,39,10,24,72,0.17
Ikau,8116,C003,39,3,10,37,0.12
Bolombo mengi,8535,C015,39,8,16,94,0.19
Waka,12380,C011,39,2,10,16,0.08
Nsongo Ilinga,10656,C019,39,0,1,0,0.01
Bokeka,12390,C012,39,0,2,0,0.02
Bokakata,10480,C026,39,0,3,0,0.03
Ekoto,6353,C002,39,6,6,94,0.09
Bokolongo,6866,C006,39,0,2,0,0.03
Bokele,7685,C010,39,0,0,0,0
Balangala,14589,C005,39,0,2,0,0.01
Ndeke,8332,C016,39,8,11,96,0.13
Ilodge(Ifomi),10468,C004,39,0,0,0,0
Nsongo nkoy,8266,C018,39,3,3,36,0.04
Boyela,12246,C014,39,1,5,8,0.04
Lofoma (pilote),6346,C008,39,0,0,0,0
Loanga,6137,C001,39,0,0,0,0
Bolimi toenga,7777,C013,39,0,0,0,0
Lifumba,10923,C009,39,0,0,0,0
Monzonzo,7350,C007,39,0,0,0,0
Lilangi,7894,C017,40,6,22,76,0.28
Bongilima,5638,C021,40,10,59,177,1.05
Bafumba,18645,C024,40,32,70,172,0.38
Bokala,11529,C023,40,15,45,130,0.39
Lisafa,20432,C020,40,0,29,0,0.14
Isampoka (Elikia),19369,C025,40,14,68,72,0.35
Boboto,13817,C022,40,14,38,101,0.28
Ikau,8116,C003,40,3,13,37,0.16
Bolombo mengi,8535,C015,40,6,22,70,0.26
Waka,12380,C011,40,0,10,0,0.08
Nsongo Ilinga,10656,C019,40,3,4,28,0.04
Bokeka,12390,C012,40,0,2,0,0.02
Bokakata,10480,C026,40,5,8,48,0.08
Ekoto,6353,C002,40,2,8,31,0.13
Bokolongo,6866,C006,40,3,5,44,0.07
Bokele,7685,C010,40,2,2,26,0.03
Balangala,14589,C005,40,0,2,0,0.01
Ndeke,8332,C016,40,8,19,96,0.23
Ilodge(Ifomi),10468,C004,40,0,0,0,0
Nsongo nkoy,8266,C018,40,0,3,0,0.04
Boyela,12246,C014,40,2,7,16,0.06
Lofoma (pilote),6346,C008,40,0,0,0,0
Loanga,6137,C001,40,6,6,98,0.1
Bolimi toenga,7777,C013,40,0,0,0,0
Lifumba,10923,C009,40,0,0,0,0
Monzonzo,7350,C007,40,0,0,0,0
Lilangi,7894,C017,41,7,29,89,0.37
Bongilima,5638,C021,41,0,59,0,1.05
Bafumba,18645,C024,41,12,82,64,0.44
Bokala,11529,C023,41,22,67,191,0.58
Lisafa,20432,C020,41,0,29,0,0.14
Isampoka (Elikia),19369,C025,41,15,83,77,0.43
Boboto,13817,C022,41,14,52,101,0.38
Ikau,8116,C003,41,3,16,37,0.2
Bolombo mengi,8535,C015,41,10,32,117,0.37
Waka,12380,C011,41,0,10,0,0.08
Nsongo Ilinga,10656,C019,41,2,6,19,0.06
Bokeka,12390,C012,41,0,2,0,0.02
Bokakata,10480,C026,41,7,15,67,0.14
Ekoto,6353,C002,41,2,10,31,0.16
Bokolongo,6866,C006,41,0,5,0,0.07
Bokele,7685,C010,41,0,2,0,0.03
Balangala,14589,C005,41,3,5,21,0.03
Ndeke,8332,C016,41,6,25,72,0.3
Ilodge(Ifomi),10468,C004,41,17,17,162,0.16
Nsongo nkoy,8266,C018,41,0,3,0,0.04
Boyela,12246,C014,41,0,7,0,0.06
Lofoma (pilote),6346,C008,41,0,0,0,0
Loanga,6137,C001,41,10,16,163,0.26
Bolimi toenga,7777,C013,41,0,0,0,0
Lifumba,10923,C009,41,0,0,0,0
Monzonzo,7350,C007,41,0,0,0,0
Lilangi,7894,C017,42,6,35,76,0.44
Bongilima,5638,C021,42,8,67,142,1.19
Bafumba,18645,C024,42,19,101,102,0.54
Bokala,11529,C023,42,29,96,252,0.83
Lisafa,20432,C020,42,15,44,73,0.22
Isampoka (Elikia),19369,C025,42,5,88,26,0.45
Boboto,13817,C022,42,8,60,58,0.43
Ikau,8116,C003,42,6,22,74,0.27
Bolombo mengi,8535,C015,42,0,32,0,0.37
Waka,12380,C011,42,0,10,0,0.08
Nsongo Ilinga,10656,C019,42,2,8,19,0.08
Bokeka,12390,C012,42,0,2,0,0.02
Bokakata,10480,C026,42,10,25,95,0.24
Ekoto,6353,C002,42,3,13,47,0.2
Bokolongo,6866,C006,42,0,5,0,0.07
Bokele,7685,C010,42,0,2,0,0.03
Balangala,14589,C005,42,0,5,0,0.03
Ndeke,8332,C016,42,0,25,0,0.3
Ilodge(Ifomi),10468,C004,42,16,33,153,0.32
Nsongo nkoy,8266,C018,42,2,5,24,0.06
Boyela,12246,C014,42,22,29,180,0.24
Lofoma (pilote),6346,C008,42,0,0,0,0
Loanga,6137,C001,42,10,26,163,0.42
Bolimi toenga,7777,C013,42,1,1,13,0.01
Lifumba,10923,C009,42,0,0,0,0
Monzonzo,7350,C007,42,0,0,0,0
Lilangi,7894,C017,43,0,35,0,0.44
Bongilima,5638,C021,43,3,70,53,1.24
Bafumba,18645,C024,43,8,109,43,0.58
Bokala,11529,C023,43,22,118,191,1.02
Lisafa,20432,C020,43,7,51,34,0.25
Isampoka (Elikia),19369,C025,43,23,111,119,0.57
Boboto,13817,C022,43,11,71,80,0.51
Ikau,8116,C003,43,5,27,62,0.33
Bolombo mengi,8535,C015,43,0,32,0,0.37
Waka,12380,C011,43,2,12,16,0.1
Nsongo Ilinga,10656,C019,43,4,12,38,0.11
Bokeka,12390,C012,43,0,2,0,0.02
Bokakata,10480,C026,43,0,25,0,0.24
Ekoto,6353,C002,43,9,22,142,0.35
Bokolongo,6866,C006,43,0,5,0,0.07
Bokele,7685,C010,43,0,2,0,0.03
Balangala,14589,C005,43,0,5,0,0.03
Ndeke,8332,C016,43,0,25,0,0.3
Ilodge(Ifomi),10468,C004,43,0,33,0,0.32
Nsongo nkoy,8266,C018,43,1,6,12,0.07
Boyela,12246,C014,43,0,29,0,0.24
Lofoma (pilote),6346,C008,43,0,0,0,0
Loanga,6137,C001,43,0,26,0,0.42
Bolimi toenga,7777,C013,43,1,2,13,0.03
Lifumba,10923,C009,43,1,1,9,0.01
Monzonzo,7350,C007,43,0,0,0,0
Lilangi,7894,C017,44,7,42,89,0.53
Bongilima,5638,C021,44,25,95,443,1.68
Bafumba,18645,C024,44,45,154,241,0.83
Bokala,11529,C023,44,30,148,260,1.28
Lisafa,20432,C020,44,0,51,0,0.25
Isampoka (Elikia),19369,C025,44,35,146,181,0.75
Boboto,13817,C022,44,31,102,224,0.74
Ikau,8116,C003,44,15,42,185,0.52
Bolombo mengi,8535,C015,44,14,46,164,0.54
Waka,12380,C011,44,7,19,57,0.15
Nsongo Ilinga,10656,C019,44,4,16,38,0.15
Bokeka,12390,C012,44,0,2,0,0.02
Bokakata,10480,C026,44,4,29,38,0.28
Ekoto,6353,C002,44,9,31,142,0.49
Bokolongo,6866,C006,44,0,5,0,0.07
Bokele,7685,C010,44,0,2,0,0.03
Balangala,14589,C005,44,0,5,0,0.03
Ndeke,8332,C016,44,0,25,0,0.3
Ilodge(Ifomi),10468,C004,44,0,33,0,0.32
Nsongo nkoy,8266,C018,44,7,13,85,0.16
Boyela,12246,C014,44,7,36,57,0.29
Lofoma (pilote),6346,C008,44,0,0,0,0
Loanga,6137,C001,44,5,31,81,0.51
Bolimi toenga,7777,C013,44,0,2,0,0.03
Lifumba,10923,C009,44,0,1,0,0.01
Monzonzo,7350,C007,44,0,0,0,0
Lilangi,7894,C017,45,13,55,165,0.7
Bongilima,5638,C021,45,6,101,106,1.79
Bafumba,18645,C024,45,31,185,166,0.99
Bokala,11529,C023,45,0,148,0,1.28
Lisafa,20432,C020,45,0,51,0,0.25
Isampoka (Elikia),19369,C025,45,24,170,124,0.88
Boboto,13817,C022,45,14,116,101,0.84
Ikau,8116,C003,45,0,42,0,0.52
Bolombo mengi,8535,C015,45,20,66,234,0.77
Waka,12380,C011,45,0,19,0,0.15
Nsongo Ilinga,10656,C019,45,6,22,56,0.21
Bokeka,12390,C012,45,0,2,0,0.02
Bokakata,10480,C026,45,0,29,0,0.28
Ekoto,6353,C002,45,4,35,63,0.55
Bokolongo,6866,C006,45,0,5,0,0.07
Bokele,7685,C010,45,0,2,0,0.03
Balangala,14589,C005,45,3,8,21,0.05
Ndeke,8332,C016,45,0,25,0,0.3
Ilodge(Ifomi),10468,C004,45,8,41,76,0.39
Nsongo nkoy,8266,C018,45,0,13,0,0.16
Boyela,12246,C014,45,11,47,90,0.38
Lofoma (pilote),6346,C008,45,0,0,0,0
Loanga,6137,C001,45,3,34,49,0.55
Bolimi toenga,7777,C013,45,0,2,0,0.03
Lifumba,10923,C009,45,0,1,0,0.01
Monzonzo,7350,C007,45,0,0,0,0
Lilangi,7894,C017,46,4,59,51,0.75
Bongilima,5638,C021,46,3,104,53,1.84
Bafumba,18645,C024,46,180,365,965,1.96
Bokala,11529,C023,46,28,176,243,1.53
Lisafa,20432,C020,46,0,51,0,0.25
Isampoka (Elikia),19369,C025,46,25,195,129,1.01
Boboto,13817,C022,46,20,136,145,0.98
Ikau,8116,C003,46,13,55,160,0.68
Bolombo mengi,8535,C015,46,22,88,258,1.03
Waka,12380,C011,46,7,26,57,0.21
Nsongo Ilinga,10656,C019,46,9,31,84,0.29
Bokeka,12390,C012,46,7,9,56,0.07
Bokakata,10480,C026,46,5,34,48,0.32
Ekoto,6353,C002,46,7,42,110,0.66
Bokolongo,6866,C006,46,0,5,0,0.07
Bokele,7685,C010,46,5,7,65,0.09
Balangala,14589,C005,46,0,8,0,0.05
Ndeke,8332,C016,46,14,39,168,0.47
Ilodge(Ifomi),10468,C004,46,0,41,0,0.39
Nsongo nkoy,8266,C018,46,13,26,157,0.31
Boyela,12246,C014,46,10,57,82,0.47
Lofoma (pilote),6346,C008,46,3,3,47,0.05
Loanga,6137,C001,46,0,34,0,0.55
Bolimi toenga,7777,C013,46,0,2,0,0.03
Lifumba,10923,C009,46,0,1,0,0.01
Monzonzo,7350,C007,46,0,0,0,0
Lilangi,7894,C017,47,0,59,0,0.75
Bongilima,5638,C021,47,0,104,0,1.84
Bafumba,18645,C024,47,84,449,451,2.41
Bokala,11529,C023,47,29,205,252,1.78
Lisafa,20432,C020,47,2,53,10,0.26
Isampoka (Elikia),19369,C025,47,35,230,181,1.19
Boboto,13817,C022,47,21,157,152,1.14
Ikau,8116,C003,47,2,57,25,0.7
Bolombo mengi,8535,C015,47,0,88,0,1.03
Waka,12380,C011,47,16,42,129,0.34
Nsongo Ilinga,10656,C019,47,10,41,94,0.38
Bokeka,12390,C012,47,8,17,65,0.14
Bokakata,10480,C026,47,8,42,76,0.4
Ekoto,6353,C002,47,18,60,283,0.94
Bokolongo,6866,C006,47,5,10,73,0.15
Bokele,7685,C010,47,0,7,0,0.09
Balangala,14589,C005,47,0,8,0,0.05
Ndeke,8332,C016,47,9,48,108,0.58
Ilodge(Ifomi),10468,C004,47,0,41,0,0.39
Nsongo nkoy,8266,C018,47,0,26,0,0.31
Boyela,12246,C014,47,0,57,0,0.47
Lofoma (pilote),6346,C008,47,3,6,47,0.09
Loanga,6137,C001,47,0,34,0,0.55
Bolimi toenga,7777,C013,47,0,2,0,0.03
Lifumba,10923,C009,47,0,1,0,0.01
Monzonzo,7350,C007,47,0,0,0,0
Lilangi,7894,C017,48,5,64,63,0.81
Bongilima,5638,C021,48,4,108,71,1.92
Bafumba,18645,C024,48,59,508,316,2.72
Bokala,11529,C023,48,15,220,130,1.91
Lisafa,20432,C020,48,6,59,29,0.29
Isampoka (Elikia),19369,C025,48,12,242,62,1.25
Boboto,13817,C022,48,6,163,43,1.18
Ikau,8116,C003,48,1,58,12,0.71
Bolombo mengi,8535,C015,48,14,102,164,1.2
Waka,12380,C011,48,10,52,81,0.42
Nsongo Ilinga,10656,C019,48,26,67,244,0.63
Bokeka,12390,C012,48,10,27,81,0.22
Bokakata,10480,C026,48,0,42,0,0.4
Ekoto,6353,C002,48,5,65,79,1.02
Bokolongo,6866,C006,48,4,14,58,0.2
Bokele,7685,C010,48,5,12,65,0.16
Balangala,14589,C005,48,0,8,0,0.05
Ndeke,8332,C016,48,13,61,156,0.73
Ilodge(Ifomi),10468,C004,48,0,41,0,0.39
Nsongo nkoy,8266,C018,48,26,52,315,0.63
Boyela,12246,C014,48,0,57,0,0.47
Lofoma (pilote),6346,C008,48,20,26,315,0.41
Loanga,6137,C001,48,6,40,98,0.65
Bolimi toenga,7777,C013,48,0,2,0,0.03
Lifumba,10923,C009,48,1,2,9,0.02
Monzonzo,7350,C007,48,1,1,14,0.01
Lilangi,7894,C017,49,5,69,63,0.87
Bongilima,5638,C021,49,0,108,0,1.92
Bafumba,18645,C024,49,49,557,263,2.99
Bokala,11529,C023,49,8,228,69,1.98
Lisafa,20432,C020,49,23,82,113,0.4
Isampoka (Elikia),19369,C025,49,8,250,41,1.29
Boboto,13817,C022,49,12,175,87,1.27
Ikau,8116,C003,49,1,59,12,0.73
Bolombo mengi,8535,C015,49,0,102,0,1.2
Waka,12380,C011,49,52,104,420,0.84
Nsongo Ilinga,10656,C019,49,9,76,84,0.71
Bokeka,12390,C012,49,7,34,56,0.27
Bokakata,10480,C026,49,29,71,277,0.68
Ekoto,6353,C002,49,12,77,189,1.21
Bokolongo,6866,C006,49,2,16,29,0.23
Bokele,7685,C010,49,0,12,0,0.16
Balangala,14589,C005,49,19,27,130,0.19
Ndeke,8332,C016,49,32,93,384,1.12
Ilodge(Ifomi),10468,C004,49,23,64,220,0.61
Nsongo nkoy,8266,C018,49,38,90,460,1.09
Boyela,12246,C014,49,0,57,0,0.47
Lofoma (pilote),6346,C008,49,0,26,0,0.41
Loanga,6137,C001,49,7,47,114,0.77
Bolimi toenga,7777,C013,49,0,2,0,0.03
Lifumba,10923,C009,49,5,7,46,0.06
Monzonzo,7350,C007,49,4,5,54,0.07
Lilangi,7894,C017,50,2,66,25,0.84
Bongilima,5638,C021,50,0,108,0,1.92
Bafumba,18645,C024,50,74,582,397,3.12
Bokala,11529,C023,50,22,242,191,2.1
Lisafa,20432,C020,50,12,71,59,0.35
Isampoka (Elikia),19369,C025,50,4,246,21,1.27
Boboto,13817,C022,50,6,169,43,1.22
Ikau,8116,C003,50,4,62,49,0.76
Bolombo mengi,8535,C015,50,6,108,70,1.27
Waka,12380,C011,50,64,116,517,0.94
Nsongo Ilinga,10656,C019,50,2,69,19,0.65
Bokeka,12390,C012,50,0,27,0,0.22
Bokakata,10480,C026,50,43,85,410,0.81
Ekoto,6353,C002,50,8,73,126,1.15
Bokolongo,6866,C006,50,0,14,0,0.2
Bokele,7685,C010,50,8,20,104,0.26
Balangala,14589,C005,50,0,8,0,0.05
Ndeke,8332,C016,50,8,69,96,0.83
Ilodge(Ifomi),10468,C004,50,80,121,764,1.16
Nsongo nkoy,8266,C018,50,26,78,315,0.94
Boyela,12246,C014,50,0,57,0,0.47
Lofoma (pilote),6346,C008,50,59,85,930,1.34
Loanga,6137,C001,50,2,42,33,0.68
Bolimi toenga,7777,C013,50,2,4,26,0.05
Lifumba,10923,C009,50,44,46,403,0.42
Monzonzo,7350,C007,50,8,9,109,0.12
Lilangi,7894,C017,51,0,66,0,0.84
Bongilima,5638,C021,51,0,108,0,1.92
Bafumba,18645,C024,51,42,624,225,3.35
Bokala,11529,C023,51,29,271,252,2.35
Lisafa,20432,C020,51,0,71,0,0.35
Isampoka (Elikia),19369,C025,51,1,247,5,1.28
Boboto,13817,C022,51,2,171,14,1.24
Ikau,8116,C003,51,0,62,0,0.76
Bolombo mengi,8535,C015,51,2,110,23,1.29
Waka,12380,C011,51,50,166,404,1.34
Nsongo Ilinga,10656,C019,51,0,69,0,0.65
Bokeka,12390,C012,51,11,38,89,0.31
Bokakata,10480,C026,51,35,120,334,1.15
Ekoto,6353,C002,51,0,73,0,1.15
Bokolongo,6866,C006,51,43,57,626,0.83
Bokele,7685,C010,51,28,48,364,0.62
Balangala,14589,C005,51,0,8,0,0.05
Ndeke,8332,C016,51,26,95,312,1.14
Ilodge(Ifomi),10468,C004,51,97,218,927,2.08
Nsongo nkoy,8266,C018,51,0,78,0,0.94
Boyela,12246,C014,51,7,64,57,0.52
Lofoma (pilote),6346,C008,51,0,85,0,1.34
Loanga,6137,C001,51,4,46,65,0.75
Bolimi toenga,7777,C013,51,4,8,51,0.1
Lifumba,10923,C009,51,16,62,146,0.57
Monzonzo,7350,C007,51,15,24,204,0.33
